br.com.jnfe.base.COFINS;br.com.jnfe.base.CST_COFINS
br.com.jnfe.base.CRT;br.com.jnfe.base.CRT[]
br.com.jnfe.base.CST_COFINS;br.com.jnfe.base.CST_COFINS[]
br.com.jnfe.base.CST_Grupo;br.com.jnfe.base.CST_Grupo[]
br.com.jnfe.base.CST_IPI;br.com.jnfe.base.CST_IPI[]
br.com.jnfe.base.CST_PIS;br.com.jnfe.base.CST_PIS[]
br.com.jnfe.base.CStat;br.com.jnfe.base.CStat[]
br.com.jnfe.base.CStat;br.com.jnfe.base.SitNFe
br.com.jnfe.base.C_ICMS;br.com.jnfe.base.CST_Grupo
br.com.jnfe.base.C_ICMS;br.com.jnfe.base.C_ICMS[]
br.com.jnfe.base.ContribICMS;br.com.jnfe.base.ContribICMS[]
br.com.jnfe.base.FinNFe;br.com.jnfe.base.FinNFe[]
br.com.jnfe.base.ICMS;br.com.jnfe.base.C_ICMS
br.com.jnfe.base.ICMSExt;br.com.jnfe.base.ICMSST
br.com.jnfe.base.ICMSST;br.com.jnfe.base.ICMS
br.com.jnfe.base.IPI;br.com.jnfe.base.CST_IPI
br.com.jnfe.base.IndPag;br.com.jnfe.base.IndPag[]
br.com.jnfe.base.IndTot;br.com.jnfe.base.IndTot[]
br.com.jnfe.base.ModBC;br.com.jnfe.base.ModBC[]
br.com.jnfe.base.ModBCST;br.com.jnfe.base.ModBCST[]
br.com.jnfe.base.ModFrete;br.com.jnfe.base.ModFrete[]
br.com.jnfe.base.ModeloNFe;br.com.jnfe.base.ModeloNFe[]
br.com.jnfe.base.MotDesICMS;br.com.jnfe.base.MotDesICMS[]
br.com.jnfe.base.Orig;br.com.jnfe.base.Orig[]
br.com.jnfe.base.PIS;br.com.jnfe.base.CST_PIS
br.com.jnfe.base.ProcEmi;br.com.jnfe.base.ProcEmi[]
br.com.jnfe.base.RegimeEspecialTributario;br.com.jnfe.base.RegimeEspecialTributario[]
br.com.jnfe.base.SitNFe;br.com.jnfe.base.SitNFe[]
br.com.jnfe.base.TpAmb;br.com.jnfe.base.TpAmb[]
br.com.jnfe.base.TpDet;br.com.jnfe.base.TpDet[]
br.com.jnfe.base.TpEmis;br.com.jnfe.base.TpEmis[]
br.com.jnfe.base.TpImp;br.com.jnfe.base.TpImp[]
br.com.jnfe.base.TpNF;br.com.jnfe.base.TpNF[]
br.com.jnfe.base.TpObsNFe;br.com.jnfe.base.TpObsNFe[]
br.com.jnfe.base.TpSerie;br.com.jnfe.base.TpSerie[]
br.com.jnfe.base.TpServico;br.com.jnfe.base.TpServico[]
